date,day_of_week,month,or_size,gap_points,gap_direction,volume_ratio,signal_strength,regime,prev_day_result,entry_time,direction,pnl,win_loss,consecutive_losses_before,consecutive_wins_before,market_atr,drawdown_at_entry,exit_reason,points_captured
2024-03-05,Tuesday,3,80.5,-160.0,-1,1.328,84,breakout,loss,09:46,short,-625.0,0,2,0,187.5,0.0,stop,-31.0
2024-03-07,Thursday,3,63.75,151.88,1,1.189,90,breakout,loss,10:26,long,1185.0,1,3,0,222.12,1.25,target,59.5
2024-03-13,Wednesday,3,63.0,-74.75,-1,0.202,59,breakout,win,09:45,short,1185.0,1,0,1,250.03,0.0,target,59.5
2024-04-02,Tuesday,4,68.75,-234.12,-1,1.098,74,breakout,win,10:12,short,-625.0,0,0,2,0.0,0.0,stop,-31.0
2024-04-05,Friday,4,79.75,51.62,1,1.032,74,breakout,loss,09:51,long,1185.0,1,1,0,262.25,1.25,target,59.5
2024-04-19,Friday,4,69.0,-85.75,-1,0.992,84,breakout,win,10:11,short,1185.0,1,0,1,263.39,0.0,target,59.5
2024-04-23,Tuesday,4,64.0,101.5,1,0.961,74,breakout,win,09:45,long,-625.0,0,0,2,289.48,0.0,stop,-31.0
2024-04-26,Friday,4,97.0,97.75,1,1.276,86,breakout,loss,09:50,long,1185.0,1,1,0,273.12,1.21,target,59.5
2024-04-30,Tuesday,4,63.75,-69.12,-1,0.867,72,breakout,win,11:04,short,1185.0,1,0,1,273.71,0.0,target,59.5
2024-05-03,Friday,5,57.25,273.12,1,0.936,64,breakout,win,09:45,long,1185.0,1,0,2,346.62,0.0,target,59.5
2024-05-10,Friday,5,74.25,80.12,1,0.95,84,breakout,win,09:48,long,-625.0,0,0,3,199.89,0.0,stop,-31.0
2024-05-28,Tuesday,5,67.5,-48.0,-1,1.004,74,breakout,loss,09:45,short,-625.0,0,1,0,165.43,1.22,stop,-31.0
2024-05-30,Thursday,5,72.5,-69.0,-1,1.205,100,breakout,loss,10:34,short,1185.0,1,2,0,163.46,2.44,target,59.5
2024-06-12,Wednesday,6,106.75,198.38,1,1.415,76,breakout,win,09:46,long,-625.0,0,0,1,207.25,0.0,stop,-31.0
2024-06-27,Thursday,6,111.75,63.12,1,1.784,76,breakout,loss,10:14,long,-625.0,0,1,0,180.3,1.25,stop,-31.0
2024-07-17,Wednesday,7,71.5,-350.75,-1,1.415,84,breakout,loss,10:00,short,1185.0,1,2,0,236.08,0.0,target,59.5
2024-07-24,Wednesday,7,127.25,-351.62,-1,1.242,78,breakout,win,09:56,short,1185.0,1,0,1,250.84,0.0,target,59.5
2024-07-25,Thursday,7,119.0,-40.75,-1,1.351,86,breakout,win,09:54,short,1185.0,1,0,2,282.88,0.0,target,59.5
2024-07-26,Friday,7,87.5,134.0,1,1.009,82,breakout,win,10:26,long,-625.0,0,0,3,304.02,0.0,stop,-31.0
2024-07-31,Wednesday,7,103.75,498.88,1,1.391,86,breakout,loss,10:01,long,1185.0,1,1,0,344.62,1.17,target,59.5
2024-08-08,Thursday,8,112.5,217.5,1,0.762,51,breakout,win,10:02,long,1185.0,1,0,1,618.55,0.0,target,59.5
2024-08-28,Wednesday,8,72.5,-34.0,-1,0.706,69,breakout,win,09:45,short,1185.0,1,0,2,295.36,0.0,target,59.5
2024-08-30,Friday,8,63.25,144.12,1,0.747,59,breakout,win,09:51,long,-625.0,0,0,3,292.16,0.0,stop,-31.0
2024-09-03,Tuesday,9,125.0,-226.25,-1,15.894,51,breakout,loss,09:54,short,-625.0,0,1,0,0.0,0.0,stop,-31.0
2024-09-04,Wednesday,9,105.75,-106.38,-1,1.674,86,breakout,loss,10:00,short,-625.0,0,2,0,327.5,1.25,stop,-31.0
2024-09-17,Tuesday,9,71.25,128.12,1,0.258,57,breakout,loss,10:45,long,-625.0,0,3,0,335.36,2.5,stop,-31.0
2024-09-19,Thursday,9,68.25,448.62,1,0.198,75,breakout,loss,10:18,long,1185.0,1,4,0,330.19,3.75,target,59.5
